condition_id,condition,match_id,year,match,actual_result,predicted_result,is_actual_draw,draw_probability,win_probability_gap,predicted_total_goals,upset_probability
C05,Win Probability Gap <= 10%,263,2018,Morocco vs Iran,Away Win,Draw,False,31.23,8.83,2,59.94
C05,Win Probability Gap <= 10%,264,2018,Portugal vs Spain,Draw,Away Win,True,28.98,7.96,2,63.06
C05,Win Probability Gap <= 10%,281,2018,Costa Rica vs Serbia,Away Win,Draw,False,30.23,5.52,2,65.99
C05,Win Probability Gap <= 10%,293,2018,Belgium vs Panama,Home Win,Home Win,False,28.7,9.05,1,62.25
C05,Win Probability Gap <= 10%,300,2018,Poland vs Senegal,Away Win,Away Win,False,29.2,7.29,1,65.69
C05,Win Probability Gap <= 10%,284,2018,Serbia vs Switzerland,Away Win,Draw,False,31.74,3.5,0,64.77
C05,Win Probability Gap <= 10%,302,2018,Poland vs Colombia,Away Win,Away Win,False,29.04,9.0,3,61.95
C05,Win Probability Gap <= 10%,261,2018,Uruguay vs Russia,Home Win,Home Win,False,27.07,9.65,6,63.78
C05,Win Probability Gap <= 10%,274,2018,Australia vs Peru,Away Win,Away Win,False,29.28,7.68,3,63.04
C05,Win Probability Gap <= 10%,292,2018,Mexico vs Sweden,Away Win,Away Win,False,29.66,7.12,2,66.45
C05,Win Probability Gap <= 10%,304,2018,Senegal vs Colombia,Away Win,Away Win,False,29.52,7.11,3,63.37
C05,Win Probability Gap <= 10%,305,2018,France vs Argentina,Home Win,Draw,False,33.75,0.01,2,66.24
C05,Win Probability Gap <= 10%,306,2018,Uruguay vs Portugal,Home Win,Draw,False,30.01,8.04,4,61.95
C05,Win Probability Gap <= 10%,308,2018,Croatia vs Denmark,Draw,Draw,True,30.75,6.47,2,62.77
C05,Win Probability Gap <= 10%,311,2018,Sweden vs Switzerland,Home Win,Home Win,False,29.28,9.15,3,67.71
C05,Win Probability Gap <= 10%,312,2018,Colombia vs England,Draw,Draw,True,31.88,3.79,2,64.33
C05,Win Probability Gap <= 10%,315,2018,Sweden vs England,Away Win,Draw,False,30.54,5.53,2,63.93
C05,Win Probability Gap <= 10%,317,2018,France vs Belgium,Home Win,Draw,False,31.32,8.03,2,60.65
C05,Win Probability Gap <= 10%,318,2018,Croatia vs England,Draw,Draw,True,30.77,5.37,2,63.86
C05,Win Probability Gap <= 10%,319,2018,Belgium vs England,Home Win,Away Win,False,28.39,9.14,2,65.93
C05,Win Probability Gap <= 10%,321,2022,Qatar vs Ecuador,Away Win,Draw,False,31.02,3.56,2,65.43
C05,Win Probability Gap <= 10%,328,2022,USA vs Wales,Draw,Draw,True,34.58,-0.32,0,68.83
C05,Win Probability Gap <= 10%,334,2022,Mexico vs Poland,Draw,Home Win,True,29.29,6.84,2,63.87
C05,Win Probability Gap <= 10%,329,2022,Wales vs Iran,Away Win,Draw,False,32.92,8.14,0,58.94
C05,Win Probability Gap <= 10%,341,2022,Tunisia vs Australia,Away Win,Home Win,False,29.63,7.85,3,62.52
C05,Win Probability Gap <= 10%,347,2022,Japan vs Costa Rica,Away Win,Draw,False,30.2,7.34,2,62.47
C05,Win Probability Gap <= 10%,348,2022,Spain vs Germany,Draw,Away Win,True,29.97,7.6,4,67.54
